year,CO,NH3,NOx,Direct PM2.5,Direct PM10,SO2,VOC
1990,143.605,4.32,25.165,2.327,3.217,23.065,23.125
1991,136.545,4.384,24.933,2.317,3.112,22.363,22.899
1992,134.506,4.443,25.027,2.344,3.14,22.073,22.659
1993,129.365,4.518,25.122,2.223,3.036,21.764,22.252
1994,124.469,4.589,24.968,2.183,2.989,21.332,21.932
1995,120.073,4.659,24.697,2.203,3.055,18.609,21.578
1996,114.356,4.727,24.382,2.003,2.638,18.37,19.001
1997,111.117,4.817,24.526,2.012,2.656,18.834,18.786
1998,108.726,4.94,24.176,1.981,2.585,18.939,18.136
1999,104.033,4.857,22.609,2.7,3.198,17.478,17.603
2000,102.418,4.907,22.335,2.6,3.098,16.278,16.898
2001,98.518,3.689,21.378,2.606,3.127,15.888,16.699
2002,87.981,3.769,23.845,2.549,3.693,14.952,17.076
2003,85.541,3.78,22.537,2.542,3.679,14.728,16.697
2004,83.096,3.791,21.218,2.533,3.66,14.491,16.3
2005,80.646,3.802,20.261,2.523,3.639,14.49,15.885
2006,77.937,3.947,19.133,2.353,3.461,13.067,16.034
2007,75.228,4.092,18.005,2.184,3.283,11.643,16.183
2008,67.455,4.161,16.813,2.003,3.084,10.254,14.912
2009,60.552,4.117,15.675,1.927,2.913,9.019,14.747
2010,61.571,4.073,14.75,1.853,2.747,7.662,14.988
2011,61.06,3.829,14.334,1.812,2.708,6.383,15.263
2012,59.057,3.619,13.694,1.772,2.628,4.983,14.981
2013,57.053,3.61,13.054,1.731,2.549,4.778,14.699
2014,55.05,3.4,12.47,1.691,2.47,4.603,14.416
2015,53.029,3.592,11.563,1.624,2.405,3.874,13.864
2016,48.417,3.783,10.185,1.54,2.302,3.133,12.992
2017,47.118,3.979,9.608,1.492,2.258,2.404,12.607
2018,46.006,3.976,9.119,1.479,2.245,2.302,12.416
2019,44.895,3.973,8.556,1.465,2.231,2.007,12.225
2020,43.783,3.97,7.997,1.451,2.217,1.827,12.035
